S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,BAGALKOT,JAMKHANDI,2018-08-30,00:00:00,0,0,,,,,,12.8,L
2,BAGALKOT,JAMKHANDI,2018-08-30,01:00:00,0,0,,,,,,12.7,L
3,BAGALKOT,JAMKHANDI,2018-08-30,02:00:00,0,0,,,,,,12.8,L
4,BAGALKOT,JAMKHANDI,2018-08-30,03:00:00,0,0,,,,,,13.6,L
5,BAGALKOT,JAMKHANDI,2018-08-30,04:00:00,0,0,,,,,,14.0,L
6,BAGALKOT,JAMKHANDI,2018-08-30,05:00:00,0,0,,,,,,13.4,L
7,BAGALKOT,JAMKHANDI,2018-08-30,06:00:00,0,0,,,,,,13.5,L
8,BAGALKOT,JAMKHANDI,2018-08-30,07:00:00,0,0,,,,,,13.6,L
9,BAGALKOT,JAMKHANDI,2018-08-30,08:00:00,0,0,,,,,,13.5,L
10,BAGALKOT,JAMKHANDI,2018-08-30,09:00:00,0,0,,,,,,13.4,L
11,BAGALKOT,JAMKHANDI,2018-08-30,10:00:00,0,0,,,,,,13.4,L
12,BAGALKOT,JAMKHANDI,2018-08-30,11:00:00,0,0,,,,,,13.4,L
13,BAGALKOT,JAMKHANDI,2018-08-30,12:00:00,0,0,,,,,,13.5,L
14,BAGALKOT,JAMKHANDI,2018-08-30,13:00:00,0,0,,,,,,13.2,L
15,BAGALKOT,JAMKHANDI,2018-08-30,14:00:00,0,0,,,,,,12.8,L
16,BAGALKOT,JAMKHANDI,2018-08-30,15:00:00,0,0,,,,,,12.8,L
17,BAGALKOT,JAMKHANDI,2018-08-30,16:00:00,0,0,,,,,,12.8,L
18,BAGALKOT,JAMKHANDI,2018-08-30,17:00:00,0,0,,,,,,12.8,L
19,BAGALKOT,JAMKHANDI,2018-08-30,18:00:00,0,0,,,,,,12.8,L
20,BAGALKOT,JAMKHANDI,2018-08-30,19:00:00,0,0,,,,,,12.8,L
21,BAGALKOT,JAMKHANDI,2018-08-30,20:00:00,0,0,,,,,,12.8,L
22,BAGALKOT,JAMKHANDI,2018-08-30,21:00:00,0,0,,,,,,12.8,L
23,BAGALKOT,JAMKHANDI,2018-08-30,22:00:00,0,0,,,,,,12.8,L
24,BAGALKOT,JAMKHANDI,2018-08-30,23:00:00,0,0,,,,,,12.7,L
25,BAGALKOT,JAMKHANDI,2018-08-31,00:00:00,0,0,,,,,,12.7,L
26,BAGALKOT,JAMKHANDI,2018-08-31,01:00:00,0,0,,,,,,12.7,L
27,BAGALKOT,JAMKHANDI,2018-08-31,02:00:00,0,0,,,,,,13.1,L
28,BAGALKOT,JAMKHANDI,2018-08-31,03:00:00,0,0,,,,,,13.6,L
29,BAGALKOT,JAMKHANDI,2018-08-31,04:00:00,0,0,,,,,,13.9,L
30,BAGALKOT,JAMKHANDI,2018-08-31,05:00:00,0,0,,,,,,13.4,L
31,BAGALKOT,JAMKHANDI,2018-08-31,06:00:00,0,0,,,,,,13.4,L
32,BAGALKOT,JAMKHANDI,2018-08-31,07:00:00,0,0,,,,,,13.4,L
33,BAGALKOT,JAMKHANDI,2018-08-31,08:00:00,0,0,,,,,,13.3,L
34,BAGALKOT,JAMKHANDI,2018-08-31,09:00:00,0,0,,,,,,13.4,L
35,BAGALKOT,JAMKHANDI,2018-08-31,10:00:00,0,0,,,,,,13.3,L
36,BAGALKOT,JAMKHANDI,2018-08-31,11:00:00,0,0,,,,,,13.4,L
37,BAGALKOT,JAMKHANDI,2018-08-31,12:00:00,0,0,,,,,,13.4,L
38,BAGALKOT,JAMKHANDI,2018-08-31,13:00:00,0,0,,,,,,13.2,L
39,BAGALKOT,JAMKHANDI,2018-08-31,14:00:00,0,0,,,,,,12.8,L
40,BAGALKOT,JAMKHANDI,2018-08-31,15:00:00,0,0,,,,,,12.8,L
41,BAGALKOT,JAMKHANDI,2018-08-31,16:00:00,0,0,,,,,,12.8,L
42,BAGALKOT,JAMKHANDI,2018-08-31,17:00:00,0,0,,,,,,12.8,L
43,BAGALKOT,JAMKHANDI,2018-08-31,18:00:00,0,0,,,,,,12.8,L
44,BAGALKOT,JAMKHANDI,2018-08-31,19:00:00,0,0,,,,,,12.8,L
45,BAGALKOT,JAMKHANDI,2018-08-31,20:00:00,0,0,,,,,,12.8,L
46,BAGALKOT,JAMKHANDI,2018-08-31,21:00:00,0,0,,,,,,12.8,L
47,BAGALKOT,JAMKHANDI,2018-08-31,22:00:00,0,0,,,,,,12.8,L
48,BAGALKOT,JAMKHANDI,2018-08-31,23:00:00,0,0,,,,,,12.7,L
49,BAGALKOT,JAMKHANDI,2018-09-01,00:00:00,0,0,,,,,,12.7,L
50,BAGALKOT,JAMKHANDI,2018-09-01,01:00:00,0,0,,,,,,12.7,L
51,BAGALKOT,JAMKHANDI,2018-09-01,02:00:00,0,0,,,,,,13.2,L
52,BAGALKOT,JAMKHANDI,2018-09-01,03:00:00,0,0,,,,,,13.6,L
53,BAGALKOT,JAMKHANDI,2018-09-01,04:00:00,0,0,,,,,,14.1,L
54,BAGALKOT,JAMKHANDI,2018-09-01,05:00:00,0,0,,,,,,13.6,L
55,BAGALKOT,JAMKHANDI,2018-09-01,06:00:00,0,0,,,,,,13.4,L
56,BAGALKOT,JAMKHANDI,2018-09-01,07:00:00,0,0,,,,,,13.4,L
57,BAGALKOT,JAMKHANDI,2018-09-01,08:00:00,0,0,,,,,,13.4,L
58,BAGALKOT,JAMKHANDI,2018-09-01,09:00:00,0,0,,,,,,13.4,L
59,BAGALKOT,JAMKHANDI,2018-09-01,10:00:00,0,0,,,,,,13.3,L
60,BAGALKOT,JAMKHANDI,2018-09-01,11:00:00,0,0,,,,,,13.8,L
61,BAGALKOT,JAMKHANDI,2018-09-01,12:00:00,0,0,,,,,,13.8,L
62,BAGALKOT,JAMKHANDI,2018-09-01,13:00:00,0,0,,,,,,13.2,L
63,BAGALKOT,JAMKHANDI,2018-09-01,14:00:00,0,0,,,,,,12.8,L
64,BAGALKOT,JAMKHANDI,2018-09-01,15:00:00,0,0,,,,,,12.8,L
65,BAGALKOT,JAMKHANDI,2018-09-01,16:00:00,0,0,,,,,,12.8,L
66,BAGALKOT,JAMKHANDI,2018-09-01,17:00:00,0,0,,,,,,12.8,L
67,BAGALKOT,JAMKHANDI,2018-09-01,18:00:00,0,0,,,,,,12.8,L
68,BAGALKOT,JAMKHANDI,2018-09-01,19:00:00,0,0,,,,,,12.8,L
69,BAGALKOT,JAMKHANDI,2018-09-01,20:00:00,0,0,,,,,,12.8,L
70,BAGALKOT,JAMKHANDI,2018-09-01,21:00:00,0,0,,,,,,12.8,L
71,BAGALKOT,JAMKHANDI,2018-09-01,22:00:00,0,0,,,,,,12.8,L
72,BAGALKOT,JAMKHANDI,2018-09-01,23:00:00,0,0,,,,,,12.7,L
73,BAGALKOT,JAMKHANDI,2018-09-02,00:00:00,0,0,,,,,,12.7,L
74,BAGALKOT,JAMKHANDI,2018-09-02,01:00:00,0,0,,,,,,12.7,L
75,BAGALKOT,JAMKHANDI,2018-09-02,02:00:00,0,0,,,,,,13.2,L
76,BAGALKOT,JAMKHANDI,2018-09-02,03:00:00,0,0,,,,,,13.5,L
77,BAGALKOT,JAMKHANDI,2018-09-02,04:00:00,0,0,,,,,,14.0,L
78,BAGALKOT,JAMKHANDI,2018-09-02,05:00:00,0,0,,,,,,13.7,L
79,BAGALKOT,JAMKHANDI,2018-09-02,06:00:00,0,0,,,,,,13.4,L
80,BAGALKOT,JAMKHANDI,2018-09-02,07:00:00,0,0,,,,,,13.4,L
81,BAGALKOT,JAMKHANDI,2018-09-02,08:00:00,0,0,,,,,,13.4,L
82,BAGALKOT,JAMKHANDI,2018-09-02,09:00:00,0,0,,,,,,13.4,L
83,BAGALKOT,JAMKHANDI,2018-09-02,10:00:00,0,0,,,,,,13.3,L
84,BAGALKOT,JAMKHANDI,2018-09-02,11:00:00,0,0,,,,,,13.3,L
85,BAGALKOT,JAMKHANDI,2018-09-02,12:00:00,0,0,,,,,,13.4,L
86,BAGALKOT,JAMKHANDI,2018-09-02,13:00:00,0,0,,,,,,13.0,L
87,BAGALKOT,JAMKHANDI,2018-09-02,14:00:00,0,0,,,,,,12.8,L
88,BAGALKOT,JAMKHANDI,2018-09-02,15:00:00,0,0,,,,,,12.8,L
89,BAGALKOT,JAMKHANDI,2018-09-02,16:00:00,0,0,,,,,,12.8,L
90,BAGALKOT,JAMKHANDI,2018-09-02,17:00:00,0,0,,,,,,12.8,L
91,BAGALKOT,JAMKHANDI,2018-09-02,18:00:00,0,0,,,,,,12.8,L
92,BAGALKOT,JAMKHANDI,2018-09-02,19:00:00,0,0,,,,,,12.8,L
93,BAGALKOT,JAMKHANDI,2018-09-02,20:00:00,0,0,,,,,,12.8,L
94,BAGALKOT,JAMKHANDI,2018-09-02,21:00:00,0,0,,,,,,12.8,L
95,BAGALKOT,JAMKHANDI,2018-09-02,22:00:00,0,0,,,,,,12.8,L
96,BAGALKOT,JAMKHANDI,2018-09-02,23:00:00,0,0,,,,,,12.7,L
97,BAGALKOT,JAMKHANDI,2018-09-03,00:00:00,0,0,,,,,,12.7,L
98,BAGALKOT,JAMKHANDI,2018-09-03,01:00:00,0,0,,,,,,12.8,L
99,BAGALKOT,JAMKHANDI,2018-09-03,02:00:00,0,0,,,,,,13.1,L
100,BAGALKOT,JAMKHANDI,2018-09-03,03:00:00,0,0,,,,,,13.7,L
101,BAGALKOT,JAMKHANDI,2018-09-03,04:00:00,0,0,,,,,,13.8,L
102,BAGALKOT,JAMKHANDI,2018-09-03,05:00:00,0,0,,,,,,13.4,L
103,BAGALKOT,JAMKHANDI,2018-09-03,06:00:00,0,0,,,,,,13.4,L
104,BAGALKOT,JAMKHANDI,2018-09-03,07:00:00,0,0,,,,,,13.4,L
105,BAGALKOT,JAMKHANDI,2018-09-03,08:00:00,0,0,,,,,,13.4,L
106,BAGALKOT,JAMKHANDI,2018-09-03,09:00:00,0,0,,,,,,13.3,L
107,BAGALKOT,JAMKHANDI,2018-09-03,10:00:00,0,0,,,,,,13.3,L
108,BAGALKOT,JAMKHANDI,2018-09-03,11:00:00,0,0,,,,,,13.5,L
109,BAGALKOT,JAMKHANDI,2018-09-03,12:00:00,0,0,,,,,,13.5,L
110,BAGALKOT,JAMKHANDI,2018-09-03,13:00:00,0,0,,,,,,13.0,L
111,BAGALKOT,JAMKHANDI,2018-09-03,14:00:00,0,0,,,,,,12.8,L
112,BAGALKOT,JAMKHANDI,2018-09-03,15:00:00,0,0,,,,,,12.8,L
113,BAGALKOT,JAMKHANDI,2018-09-03,16:00:00,0,0,,,,,,12.8,L
114,BAGALKOT,JAMKHANDI,2018-09-03,17:00:00,0,0,,,,,,12.8,L
115,BAGALKOT,JAMKHANDI,2018-09-03,18:00:00,0,0,,,,,,12.8,L
116,BAGALKOT,JAMKHANDI,2018-09-03,19:00:00,0,0,,,,,,12.8,L
117,BAGALKOT,JAMKHANDI,2018-09-03,20:00:00,0,0,,,,,,12.8,L
118,BAGALKOT,JAMKHANDI,2018-09-03,21:00:00,0,0,,,,,,12.8,L
119,BAGALKOT,JAMKHANDI,2018-09-03,22:00:00,0,0,,,,,,12.7,L
120,BAGALKOT,JAMKHANDI,2018-09-03,23:00:00,0,0,,,,,,12.7,L
121,BAGALKOT,JAMKHANDI,2018-09-04,00:00:00,0,0,,,,,,12.7,L
122,BAGALKOT,JAMKHANDI,2018-09-04,01:00:00,0,0,,,,,,12.7,L
123,BAGALKOT,JAMKHANDI,2018-09-04,02:00:00,0,0,,,,,,12.9,L
124,BAGALKOT,JAMKHANDI,2018-09-04,03:00:00,0,0,,,,,,13.6,L
125,BAGALKOT,JAMKHANDI,2018-09-04,04:00:00,0,0,,,,,,14.3,L
126,BAGALKOT,JAMKHANDI,2018-09-04,05:00:00,0,0,,,,,,13.4,L
127,BAGALKOT,JAMKHANDI,2018-09-04,06:00:00,0,0,,,,,,13.3,L
128,BAGALKOT,JAMKHANDI,2018-09-04,07:00:00,0,0,,,,,,13.4,L
129,BAGALKOT,JAMKHANDI,2018-09-04,09:00:00,0,0,,,,,,13.3,L
130,BAGALKOT,JAMKHANDI,2018-09-04,10:00:00,0,0,,,,,,13.3,L
131,BAGALKOT,JAMKHANDI,2018-09-04,11:00:00,0,0,,,,,,13.3,L
132,BAGALKOT,JAMKHANDI,2018-09-04,12:00:00,0,0,,,,,,13.4,L
133,BAGALKOT,JAMKHANDI,2018-09-04,13:00:00,0,0,,,,,,13.0,L
134,BAGALKOT,JAMKHANDI,2018-09-04,14:00:00,0,0,,,,,,12.8,L
135,BAGALKOT,JAMKHANDI,2018-09-04,15:00:00,0,0,,,,,,12.8,L
136,BAGALKOT,JAMKHANDI,2018-09-04,16:00:00,0,0,,,,,,12.8,L
137,BAGALKOT,JAMKHANDI,2018-09-04,17:00:00,0,0,,,,,,12.8,L
138,BAGALKOT,JAMKHANDI,2018-09-04,18:00:00,0,0,,,,,,12.8,L
139,BAGALKOT,JAMKHANDI,2018-09-04,19:00:00,0,0,,,,,,12.8,L
140,BAGALKOT,JAMKHANDI,2018-09-04,20:00:00,0,0,,,,,,12.8,L
141,BAGALKOT,JAMKHANDI,2018-09-04,21:00:00,0,0,,,,,,12.8,L
142,BAGALKOT,JAMKHANDI,2018-09-04,22:00:00,0,0,,,,,,12.8,L
143,BAGALKOT,JAMKHANDI,2018-09-04,23:00:00,0,0,,,,,,12.7,L
144,BAGALKOT,JAMKHANDI,2018-09-05,00:00:00,0,0,,,,,,12.7,L
145,BAGALKOT,JAMKHANDI,2018-09-05,01:00:00,0,0,,,,,,12.7,L
146,BAGALKOT,JAMKHANDI,2018-09-05,02:00:00,0,0,,,,,,12.9,L
147,BAGALKOT,JAMKHANDI,2018-09-05,03:00:00,0,0,,,,,,13.7,L
148,BAGALKOT,JAMKHANDI,2018-09-05,04:00:00,0,0,,,,,,13.9,L
149,BAGALKOT,JAMKHANDI,2018-09-05,05:00:00,0,0,,,,,,13.4,L
150,BAGALKOT,JAMKHANDI,2018-09-05,06:00:00,0,0,,,,,,13.4,L
151,BAGALKOT,JAMKHANDI,2018-09-05,07:00:00,0,0,,,,,,13.4,L
152,BAGALKOT,JAMKHANDI,2018-09-05,08:00:00,0,0,,,,,,13.4,L
153,BAGALKOT,JAMKHANDI,2018-09-05,09:00:00,0,0,,,,,,13.4,L
154,BAGALKOT,JAMKHANDI,2018-09-05,10:00:00,0,0,,,,,,13.4,L
155,BAGALKOT,JAMKHANDI,2018-09-05,11:00:00,0,0,,,,,,13.4,L
156,BAGALKOT,JAMKHANDI,2018-09-05,12:00:00,0,0,,,,,,13.4,L
157,BAGALKOT,JAMKHANDI,2018-09-05,13:00:00,0,0,,,,,,13.0,L
158,BAGALKOT,JAMKHANDI,2018-09-05,15:00:00,0,0,,,,,,12.8,L
159,BAGALKOT,JAMKHANDI,2018-09-05,16:00:00,0,0,,,,,,12.8,L
160,BAGALKOT,JAMKHANDI,2018-09-05,17:00:00,0,0,,,,,,12.8,L
161,BAGALKOT,JAMKHANDI,2018-09-05,18:00:00,0,0,,,,,,12.8,L
162,BAGALKOT,JAMKHANDI,2018-09-05,19:00:00,0,0,,,,,,12.8,L
163,BAGALKOT,JAMKHANDI,2018-09-05,20:00:00,0,0,,,,,,12.8,L
164,BAGALKOT,JAMKHANDI,2018-09-05,21:00:00,0,0,,,,,,12.8,L
165,BAGALKOT,JAMKHANDI,2018-09-05,22:00:00,0,0,,,,,,12.8,L
166,BAGALKOT,JAMKHANDI,2018-09-05,23:00:00,0,0,,,,,,12.7,L
167,BAGALKOT,KUNDARGI,2018-08-30,00:00:00,0,0,,,,,,12.7,L
168,BAGALKOT,KUNDARGI,2018-08-30,01:00:00,0,0,,,,,,12.7,L
169,BAGALKOT,KUNDARGI,2018-08-30,02:00:00,0,0,,,,,,13.1,L
170,BAGALKOT,KUNDARGI,2018-08-30,03:00:00,0,0,,,,,,13.3,L
171,BAGALKOT,KUNDARGI,2018-08-30,04:00:00,0,0,,,,,,13.9,L
172,BAGALKOT,KUNDARGI,2018-08-30,05:00:00,0,0,,,,,,13.8,L
173,BAGALKOT,KUNDARGI,2018-08-30,06:00:00,0,0,,,,,,13.7,L
174,BAGALKOT,KUNDARGI,2018-08-30,07:00:00,0,0,,,,,,13.7,L
175,BAGALKOT,KUNDARGI,2018-08-30,08:00:00,0,0,,,,,,13.7,L
176,BAGALKOT,KUNDARGI,2018-08-30,09:00:00,0,0,,,,,,13.8,L
177,BAGALKOT,KUNDARGI,2018-08-30,10:00:00,0,0,,,,,,13.8,L
178,BAGALKOT,KUNDARGI,2018-08-30,11:00:00,0,0,,,,,,13.6,L
179,BAGALKOT,KUNDARGI,2018-08-30,12:00:00,0,0,,,,,,13.6,L
180,BAGALKOT,KUNDARGI,2018-08-30,13:00:00,1,1,,,,,,12.8,L
181,BAGALKOT,KUNDARGI,2018-08-30,14:00:00,0,1,,,,,,12.8,L
182,BAGALKOT,KUNDARGI,2018-08-30,15:00:00,0,1,,,,,,12.8,L
183,BAGALKOT,KUNDARGI,2018-08-30,16:00:00,0,1,,,,,,12.8,L
184,BAGALKOT,KUNDARGI,2018-08-30,17:00:00,0,1,,,,,,12.8,L
185,BAGALKOT,KUNDARGI,2018-08-30,18:00:00,0,1,,,,,,12.8,L
186,BAGALKOT,KUNDARGI,2018-08-30,20:00:00,0,0,,,,,,12.7,L
187,BAGALKOT,KUNDARGI,2018-08-30,21:00:00,0,0,,,,,,12.7,L
188,BAGALKOT,KUNDARGI,2018-08-30,22:00:00,0,0,,,,,,12.7,L
189,BAGALKOT,KUNDARGI,2018-08-30,23:00:00,0,0,,,,,,12.7,L
190,BAGALKOT,KUNDARGI,2018-08-31,00:00:00,0,0,,,,,,12.7,L
191,BAGALKOT,KUNDARGI,2018-08-31,01:00:00,0,0,,,,,,12.7,L
192,BAGALKOT,KUNDARGI,2018-08-31,02:00:00,0,0,,,,,,13.1,L
193,BAGALKOT,KUNDARGI,2018-08-31,03:00:00,0,0,,,,,,14.1,L
194,BAGALKOT,KUNDARGI,2018-08-31,04:00:00,0,0,,,,,,14.4,L
195,BAGALKOT,KUNDARGI,2018-08-31,05:00:00,0,0,,,,,,13.8,L
196,BAGALKOT,KUNDARGI,2018-08-31,07:00:00,0,0,,,,,,13.7,L
197,BAGALKOT,KUNDARGI,2018-08-31,08:00:00,0,0,,,,,,13.6,L
198,BAGALKOT,KUNDARGI,2018-08-31,09:00:00,0,0,,,,,,13.6,L
199,BAGALKOT,KUNDARGI,2018-08-31,10:00:00,0,0,,,,,,13.6,L
200,BAGALKOT,KUNDARGI,2018-08-31,11:00:00,0,0,,,,,,13.6,L
201,BAGALKOT,KUNDARGI,2018-08-31,12:00:00,0,0,,,,,,13.5,L
202,BAGALKOT,KUNDARGI,2018-08-31,13:00:00,0,0,,,,,,13.1,L
203,BAGALKOT,KUNDARGI,2018-08-31,14:00:00,0,0,,,,,,12.8,L
204,BAGALKOT,KUNDARGI,2018-08-31,15:00:00,0,0,,,,,,12.8,L
205,BAGALKOT,KUNDARGI,2018-08-31,17:00:00,0,0,,,,,,12.8,L
206,BAGALKOT,KUNDARGI,2018-08-31,19:00:00,0,0,,,,,,12.7,L
207,BAGALKOT,KUNDARGI,2018-08-31,20:00:00,0,0,,,,,,12.8,L
208,BAGALKOT,KUNDARGI,2018-08-31,21:00:00,0,0,,,,,,12.7,L
209,BAGALKOT,KUNDARGI,2018-08-31,22:00:00,0,0,,,,,,12.7,L
210,BAGALKOT,KUNDARGI,2018-08-31,23:00:00,0,0,,,,,,12.7,L
211,BAGALKOT,KUNDARGI,2018-09-01,00:00:00,0,0,,,,,,12.7,L
212,BAGALKOT,KUNDARGI,2018-09-01,01:00:00,0,0,,,,,,12.7,L
213,BAGALKOT,KUNDARGI,2018-09-01,02:00:00,0,0,,,,,,13.1,L
214,BAGALKOT,KUNDARGI,2018-09-01,03:00:00,0,0,,,,,,13.8,L
215,BAGALKOT,KUNDARGI,2018-09-01,04:00:00,0,0,,,,,,14.0,L
216,BAGALKOT,KUNDARGI,2018-09-01,05:00:00,0,0,,,,,,14.0,L
217,BAGALKOT,KUNDARGI,2018-09-01,06:00:00,0,0,,,,,,13.8,L
218,BAGALKOT,KUNDARGI,2018-09-01,07:00:00,0,0,,,,,,14.2,L
219,BAGALKOT,KUNDARGI,2018-09-01,08:00:00,0,0,,,,,,13.7,L
220,BAGALKOT,KUNDARGI,2018-09-01,09:00:00,0,0,,,,,,13.7,L
221,BAGALKOT,KUNDARGI,2018-09-01,10:00:00,0,0,,,,,,13.7,L
222,BAGALKOT,KUNDARGI,2018-09-01,11:00:00,0,0,,,,,,13.7,L
223,BAGALKOT,KUNDARGI,2018-09-01,12:00:00,0,0,,,,,,13.6,L
224,BAGALKOT,KUNDARGI,2018-09-01,14:00:00,0,0,,,,,,12.8,L
225,BAGALKOT,KUNDARGI,2018-09-01,15:00:00,0,0,,,,,,12.8,L
226,BAGALKOT,KUNDARGI,2018-09-01,16:00:00,0,0,,,,,,12.8,L
227,BAGALKOT,KUNDARGI,2018-09-01,17:00:00,0,0,,,,,,12.7,L
228,BAGALKOT,KUNDARGI,2018-09-01,19:00:00,0,0,,,,,,12.7,L
229,BAGALKOT,KUNDARGI,2018-09-01,20:00:00,0,0,,,,,,12.7,L
230,BAGALKOT,KUNDARGI,2018-09-01,21:00:00,0,0,,,,,,12.7,L
231,BAGALKOT,KUNDARGI,2018-09-01,22:00:00,0,0,,,,,,12.7,L
232,BAGALKOT,KUNDARGI,2018-09-01,23:00:00,0,0,,,,,,12.7,L
233,BAGALKOT,KUNDARGI,2018-09-02,00:00:00,0,0,,,,,,12.7,L
234,BAGALKOT,KUNDARGI,2018-09-02,01:00:00,0,0,,,,,,12.7,L
235,BAGALKOT,KUNDARGI,2018-09-02,02:00:00,0,0,,,,,,12.9,L
236,BAGALKOT,KUNDARGI,2018-09-02,03:00:00,0,0,,,,,,13.7,L
237,BAGALKOT,KUNDARGI,2018-09-02,04:00:00,0,0,,,,,,14.0,L
238,BAGALKOT,KUNDARGI,2018-09-02,05:00:00,0,0,,,,,,13.7,L
239,BAGALKOT,KUNDARGI,2018-09-02,06:00:00,0,0,,,,,,13.7,L
240,BAGALKOT,KUNDARGI,2018-09-02,07:00:00,0,0,,,,,,13.7,L
241,BAGALKOT,KUNDARGI,2018-09-02,08:00:00,0,0,,,,,,13.6,L
242,BAGALKOT,KUNDARGI,2018-09-02,09:00:00,0,0,,,,,,13.6,L
243,BAGALKOT,KUNDARGI,2018-09-02,10:00:00,0,0,,,,,,13.5,L
244,BAGALKOT,KUNDARGI,2018-09-02,11:00:00,0,0,,,,,,13.6,L
245,BAGALKOT,KUNDARGI,2018-09-02,12:00:00,0,0,,,,,,13.5,L
246,BAGALKOT,KUNDARGI,2018-09-02,13:00:00,0,0,,,,,,12.9,L
247,BAGALKOT,KUNDARGI,2018-09-02,14:00:00,0,0,,,,,,12.8,L
248,BAGALKOT,KUNDARGI,2018-09-02,15:00:00,0,0,,,,,,12.8,L
249,BAGALKOT,KUNDARGI,2018-09-02,16:00:00,0,0,,,,,,12.8,L
250,BAGALKOT,KUNDARGI,2018-09-02,17:00:00,0,0,,,,,,12.8,L
251,BAGALKOT,KUNDARGI,2018-09-02,18:00:00,0,0,,,,,,12.7,L
252,BAGALKOT,KUNDARGI,2018-09-02,20:00:00,0,0,,,,,,12.7,L
253,BAGALKOT,KUNDARGI,2018-09-02,21:00:00,0,0,,,,,,12.7,L
254,BAGALKOT,KUNDARGI,2018-09-02,22:00:00,0,0,,,,,,12.7,L
255,BAGALKOT,KUNDARGI,2018-09-02,23:00:00,0,0,,,,,,12.7,L
256,BAGALKOT,KUNDARGI,2018-09-03,00:00:00,0,0,,,,,,12.7,L
257,BAGALKOT,KUNDARGI,2018-09-03,01:00:00,0,0,,,,,,12.7,L
258,BAGALKOT,KUNDARGI,2018-09-03,02:00:00,0,0,,,,,,13.2,L
259,BAGALKOT,KUNDARGI,2018-09-03,03:00:00,0,0,,,,,,14.1,L
260,BAGALKOT,KUNDARGI,2018-09-03,04:00:00,0,0,,,,,,13.9,L
261,BAGALKOT,KUNDARGI,2018-09-03,05:00:00,0,0,,,,,,13.7,L
262,BAGALKOT,KUNDARGI,2018-09-03,06:00:00,0,0,,,,,,13.7,L
263,BAGALKOT,KUNDARGI,2018-09-03,07:00:00,0,0,,,,,,13.7,L
264,BAGALKOT,KUNDARGI,2018-09-03,08:00:00,0,0,,,,,,13.7,L
265,BAGALKOT,KUNDARGI,2018-09-03,09:00:00,0,0,,,,,,13.6,L
266,BAGALKOT,KUNDARGI,2018-09-03,10:00:00,0,0,,,,,,13.6,L
267,BAGALKOT,KUNDARGI,2018-09-03,11:00:00,0,0,,,,,,13.6,L
268,BAGALKOT,KUNDARGI,2018-09-03,12:00:00,0,0,,,,,,13.4,L
269,BAGALKOT,KUNDARGI,2018-09-03,13:00:00,0,0,,,,,,12.8,L
270,BAGALKOT,KUNDARGI,2018-09-03,14:00:00,1,1,,,,,,12.8,L
271,BAGALKOT,KUNDARGI,2018-09-03,15:00:00,0,1,,,,,,12.8,L
272,BAGALKOT,KUNDARGI,2018-09-03,16:00:00,0,1,,,,,,12.8,L
273,BAGALKOT,KUNDARGI,2018-09-03,17:00:00,0,1,,,,,,12.7,L
274,BAGALKOT,KUNDARGI,2018-09-03,18:00:00,0,1,,,,,,12.7,L
275,BAGALKOT,KUNDARGI,2018-09-03,19:00:00,0,1,,,,,,12.7,L
276,BAGALKOT,KUNDARGI,2018-09-03,20:00:00,0,1,,,,,,12.7,L
277,BAGALKOT,KUNDARGI,2018-09-03,21:00:00,0,1,,,,,,12.7,L
278,BAGALKOT,KUNDARGI,2018-09-03,22:00:00,0,1,,,,,,12.7,L
279,BAGALKOT,KUNDARGI,2018-09-03,23:00:00,0,1,,,,,,12.7,L
280,BAGALKOT,KUNDARGI,2018-09-04,00:00:00,0,1,,,,,,12.7,L
281,BAGALKOT,KUNDARGI,2018-09-04,01:00:00,0,1,,,,,,12.7,L
282,BAGALKOT,KUNDARGI,2018-09-04,02:00:00,0,1,,,,,,13.2,L
283,BAGALKOT,KUNDARGI,2018-09-04,03:00:00,0,1,,,,,,13.8,L
284,BAGALKOT,KUNDARGI,2018-09-04,04:00:00,0,0,,,,,,14.4,L
285,BAGALKOT,KUNDARGI,2018-09-04,05:00:00,0,0,,,,,,13.7,L
286,BAGALKOT,KUNDARGI,2018-09-04,06:00:00,0,0,,,,,,13.7,L
287,BAGALKOT,KUNDARGI,2018-09-04,07:00:00,0,0,,,,,,13.7,L
288,BAGALKOT,KUNDARGI,2018-09-04,08:00:00,0,0,,,,,,13.6,L
289,BAGALKOT,KUNDARGI,2018-09-04,09:00:00,0,0,,,,,,13.6,L
290,BAGALKOT,KUNDARGI,2018-09-04,10:00:00,0,0,,,,,,13.6,L
291,BAGALKOT,KUNDARGI,2018-09-04,11:00:00,0,0,,,,,,13.6,L
292,BAGALKOT,KUNDARGI,2018-09-04,13:00:00,0,0,,,,,,12.9,L
293,BAGALKOT,KUNDARGI,2018-09-04,14:00:00,0,0,,,,,,12.8,L
294,BAGALKOT,KUNDARGI,2018-09-04,15:00:00,0,0,,,,,,12.8,L
295,BAGALKOT,KUNDARGI,2018-09-04,16:00:00,0,0,,,,,,12.8,L
296,BAGALKOT,KUNDARGI,2018-09-04,18:00:00,0,0,,,,,,12.7,L
297,BAGALKOT,KUNDARGI,2018-09-04,19:00:00,0,0,,,,,,12.7,L
